BRAND,MODEL,VARIAN,BODY TYPE,HARGAOTR,HORSE POWER (HP),TORQUE (Nm),GROUND CLEARENCE,CHASSIS,EV_RANGE_KM,BATTERY (KWH),CC,TRANSMISSION,FUEL,WEIGHT (GVW),WHEEL (Inch),TYRE,WHEELBASE,LONG,WIDTH,HEIGHT,SEAT,DRIVE_SYS,DOOR,AIRBAGS,ABS,EBD,ESC,TCS,AEB,ACC,LKA,RCTA,ACC_STOP_GO,LANE_CENTERING,DRIVER_MONITOR_CAMERA,PARK_SENSOR_FRONT,PARK_SENSOR_REAR,REAR_CAMERA,CAMERA_360,TRUNK_CAPACITY_LITER,TIPE_SUSPENSI_BELAKANG,COMPRESSION_RATIO,TIPE_BATERAI,TILT_TELESCOPIC_STEERING,APPLE_CARPLAY,ANDROID_AUTO,LEATHER_SEAT,PARKING_BRAKE,AUTO_HOLD,WIRELESS_CHARGER,SOFT_TOUCH_INTERIOR,SUNROOF,POWER_TAILGATE,ELECTRIC_SEAT,AMBIENT_LIGHT,HEADLAMP,AIR_SUSPENSION,VENTILATED_SEAT,MASSAGE_SEAT,REAR_SEAT_ENTERTAINMENT,SOFT_CLOSE_DOOR,HEAD_UP_DISPLAY,REAR_LAMP,SPEEDOMETER,TOTAL_2025,raw_feature_points,SCORE_FEATURE,SCORE_SAFETY,SCORE_PERFORMANCE,SCORE_POPULARITY,SCORE_VALUE
MERCEDES-AMG,C-CLASS,C 63 S E PERFORMANCE,Sedan,2850000000,680,1020,107,Monocoque,13,6.1,2000T,AT,PHEV,2661,20,265/35,2875,4842,1900,1458,5,AWD,4,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,280,Multi-link,9.0,NMC,Lengkap,Wireless,Wireless,Nappa Leather,Electric,Yes,Yes,Yes,Panoramic,Yes,Yes (Front & Memory),Yes,LED,No,Yes (Front),No,No,No,Yes,LED,Digital,1,14,8.2,7.9,9.7,0.0,1.5
MERCEDES-AMG,CLE-CLASS,CLE 53 4MATIC+ CABRIOLET,Convertible,3100000000,449,560,109,Monocoque,0,0.0,3000T,AT,Petrol,2585,20,265/35,2865,4850,1934,1435,4,AWD,2,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,385,Multi-link,10.5,-,Lengkap,Wireless,Wireless,Leather,Electric,Yes,Yes,Yes,,Yes,Yes (Front & Memory),Yes,LED,No,Yes (Front),No,No,No,Yes,LED,Digital,5,14,8.2,7.9,5.8,0.0,1.2
MERCEDES-AMG,G-CLASS,G 63 (W465),SUV,6680000000,585,850,241,Ladder Frame,0,0.0,4000T,AT,Petrol,3200,22,295/40,2890,4873,1984,1966,5,AWD,5,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,454,Rigid Axle,8.6,-,Lengkap,Wireless,Wireless,Nappa Leather,Electric,Yes,Yes,Yes,Moonroof,No,Yes (Front & Memory),Yes,LED,No,Yes (Front),Yes (Front),Yes,No,No,LED,Digital,7,14,8.2,9.2,8.2,0.0,0.6
MERCEDES-AMG,GLA,35 4MATIC (H247),SUV,1950000000,306,400,130,Monocoque,0,0.0,2000T,DCT,Petrol,2155,19,235/50,2729,4436,1849,1588,5,AWD,5,7,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,435,Multi-link,10.0,-,Lengkap,Wireless,Wireless,Synthetic Leather,Electric,Yes,Yes,Yes,Panoramic,Yes,Yes (Front & Memory),Yes,LED,No,No,No,No,No,No,LED,Digital,23,9,5.3,7.9,4.0,0.0,1.5
MERCEDES-AMG,GLC COUPE,43 4MATIC+ (C254),SUV,2460000000,421,500,180,Monocoque,0,0.0,2000T,AT,Petrol,2450,21,265/40,2888,4792,1920,1603,5,AWD,5,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,545,Multi-link,10.0,-,Lengkap,Wireless,Wireless,Leather,Electric,Yes,Yes,Yes,Panoramic,Yes,Yes (Front & Memory),Yes,LED,No,Yes (Front),No,No,No,Yes,LED,Digital,3,14,8.2,7.9,5.3,0.0,1.5
MERCEDES-AMG,GLS,63 4MATIC+,SUV,4950000000,612,850,215,Monocoque,0,0.0,4000T,AT,Petrol,3300,23,285/40,3135,5243,2030,1782,7,AWD,5,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,355,Multi-link,10.5,-,Lengkap,Wireless,Wireless,Nappa Leather,Electric,Yes,Yes,Yes,Panoramic,Yes,Yes (Front & Rear),Yes,LED,Yes,Yes (Front & Rear),Yes (Front & Rear),Yes,Yes,Yes,LED,Digital,1,17,10.0,8.8,8.3,0.0,0.9
MERCEDES-AMG,SL-CLASS,SL 43,Roadster,3800000000,381,480,120,Monocoque,0,0.0,2000T,AT,Petrol,2360,21,275/35,2700,4705,1915,1359,4,RWD,2,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,240,Multi-link,10.0,-,Lengkap,Wireless,Wireless,Nappa Leather,Electric,Yes,Yes,Yes,,Yes,Yes (Front & Memory),Yes,LED,No,Yes (Front),Yes (Front),No,No,No,LED,Digital,0,14,8.2,8.3,4.9,0.0,0.9
MERCEDES-BENZ,A-CLASS,A 200,Sedan,1170000000,163,250,104,Monocoque,0,0.0,1332T,DCT,Petrol,1935,17,205/55,2729,4558,1796,1429,5,FWD,5,7,1,1,1,1,1,0,1,1,0,0,0,1,1,1,0,370,Torsion Beam,10.5,-,Lengkap,Wireless,Wireless,Synthetic Leather,Electric,Yes,Yes,Yes,,No,Yes (Front & Memory),Yes,LED,No,No,No,No,No,No,LED,Digital,26,6,3.5,7.9,2.3,0.0,2.0
MERCEDES-BENZ,A-CLASS,A 200 SEDAN PROGRESSIVE,Sedan,1050000000,163,250,104,Monocoque,0,0.0,1332T,DCT,Petrol,1935,17,205/55,2729,4558,1796,1429,5,FWD,4,7,1,1,1,1,1,0,1,1,0,0,0,1,1,1,0,405,Torsion Beam,10.5,-,Lengkap,Wireless,Wireless,Synthetic Leather,Electric,Yes,Yes,Yes,,No,Yes (Front & Memory),Yes,LED,No,No,No,No,No,No,LED,Digital,0,6,3.5,7.9,2.3,0.0,2.2
MERCEDES-BENZ,C-CLASS,C 200 AVANTGARDE LINE,Sedan,1300000000,204,300,107,Monocoque,0,0.0,1500T,AT,Petrol,2200,18,225/45,2865,4751,1820,1437,5,RWD,4,7,1,1,1,1,1,0,1,1,0,0,1,1,1,1,0,455,Multi-link,10.5,-,Lengkap,Wireless,Wireless,Synthetic Leather,Electric,Yes,Yes,Yes,,Yes,Yes (Front & Memory),Yes,LED,No,No,No,No,No,No,LED,Digital,124,8,4.7,7.9,2.9,0.1,2.0
MERCEDES-BENZ,C-CLASS,C 300 AMG LINE (W206),Sedan,1380000000,258,400,107,Monocoque,0,0.0,2000T,AT,Petrol,2225,19,225/40,2865,4793,1820,1446,5,RWD,4,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,455,Multi-link,10.5,-,Lengkap,Wireless,Wireless,Leather,Electric,Yes,Yes,Yes,Panoramic,Yes,Yes (Front & Memory),Yes,LED,No,No,No,No,No,No,LED,Digital,52,12,7.1,7.9,3.7,0.0,2.3
MERCEDES-BENZ,CLA-CLASS,CLA 200 AMG LINE,Sedan,1375000000,163,250,104,Monocoque,0,0.0,1332T,DCT,Petrol,1975,18,225/45,2729,4688,1830,1439,5,FWD,4,7,1,1,1,1,1,0,1,0,0,0,0,1,1,1,0,460,Torsion Beam,10.5,-,Lengkap,Wireless,Wireless,Synthetic Leather,Electric,Yes,Yes,Yes,Panoramic,No,Yes (Front & Memory),Yes,LED,No,No,No,No,No,No,LED,Digital,25,6,3.5,7.1,2.3,0.0,1.6
MERCEDES-BENZ,CLE-CLASS,CLE 300 4MATIC COUPÉ,Coupe,1850000000,258,400,109,Monocoque,0,0.0,2000T,AT,Petrol,2340,19,245/40,2865,4850,1860,1428,4,AWD,2,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,420,Multi-link,10.5,-,Lengkap,Wireless,Wireless,Synthetic Leather,Electric,Yes,Yes,Yes,Panoramic,Yes,Yes (Front & Memory),Yes,LED,No,Yes (Front),No,No,No,No,LED,Digital,3,13,7.6,7.9,3.7,0.0,1.7
