BRAND,MODEL,VARIAN,BODY TYPE,HARGAOTR,HORSE POWER (HP),TORQUE (Nm),GROUND CLEARENCE,CHASSIS,EV_RANGE_KM,BATTERY (KWH),CC,TRANSMISSION,FUEL,WEIGHT (GVW),WHEEL (Inch),TYRE,WHEELBASE,LONG,WIDTH,HEIGHT,SEAT,DRIVE_SYS,DOOR,AIRBAGS,ABS,EBD,ESC,TCS,AEB,ACC,LKA,RCTA,ACC_STOP_GO,LANE_CENTERING,DRIVER_MONITOR_CAMERA,PARK_SENSOR_FRONT,PARK_SENSOR_REAR,REAR_CAMERA,CAMERA_360,TRUNK_CAPACITY_LITER,TIPE_SUSPENSI_BELAKANG,COMPRESSION_RATIO,TIPE_BATERAI,TILT_TELESCOPIC_STEERING,APPLE_CARPLAY,ANDROID_AUTO,LEATHER_SEAT,PARKING_BRAKE,AUTO_HOLD,WIRELESS_CHARGER,SOFT_TOUCH_INTERIOR,SUNROOF,POWER_TAILGATE,ELECTRIC_SEAT,AMBIENT_LIGHT,HEADLAMP,AIR_SUSPENSION,VENTILATED_SEAT,MASSAGE_SEAT,REAR_SEAT_ENTERTAINMENT,SOFT_CLOSE_DOOR,HEAD_UP_DISPLAY,REAR_LAMP,SPEEDOMETER,TOTAL_2025,INDEX_PERFORMANCE,INDEX_EFFICIENCY,INDEX_SAFETY,INDEX_COMFORT,INDEX_TECH,INDEX_SPACE,INDEX_POPULARITY,INDEX_PRICE
MG,HS,ACTIVATE,SUV,460800000,162,250,145,Monocoque,0,0.0,1500T,DCT,Petrol,2050,17,215/60,2720,4574,1876,1664,5,FWD,5,4,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,463,Multi-link,10.0,-,Lengkap,Wired,Wired,Synthetic Leather,Electric,Yes,No,Yes,,No,Yes (Driver),No,LED,No,No,No,No,No,No,LED,Analog,1,-0.2451612914276841,-0.3331885818267994,-0.8175932406726062,-0.2903812893507708,-0.8303904636012663,0.06392398674292574,-0.3953765409381138,0.3986934413871329
MG,HS,I-SMART MAGNIFY,SUV,558800000,162,250,145,Monocoque,0,0.0,1500T,DCT,Petrol,2100,18,235/50,2720,4574,1876,1664,5,FWD,5,6,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,463,Multi-link,10.0,-,Lengkap,Wired,Wired,Leather,Electric,Yes,No,Yes,Panoramic,Yes,Yes (Front),Yes,LED,No,No,No,No,No,No,LED,Digital,54,-0.22326908958917951,-0.3696755848909738,0.8461097548460191,0.6304132654817253,-0.24083250104445075,0.06392398674292574,-0.3731801072675033,0.29864078729411475
MG,HS,IGNITE,SUV,509800000,162,250,145,Monocoque,0,0.0,1500T,DCT,Petrol,2070,18,235/50,2720,4574,1876,1664,5,FWD,5,4,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,463,Multi-link,10.0,-,Lengkap,Wired,Wired,Synthetic Leather,Electric,Yes,No,Yes,Panoramic,Yes,Yes (Front),Yes,LED,No,No,No,No,No,No,LED,Digital,5,-0.2364044106922823,-0.3477833830524691,-0.8175932406726062,0.6304132654817253,-0.8303904636012663,0.06392398674292574,-0.39370133839693566,0.3486671143406238
MG,VS HEV,MAGNIFY,SUV,392900000,177,350,145,Monocoque,2,1.8,1500,CVT,HEV,1850,17,215/55,2585,4370,1809,1653,5,FWD,5,6,1,1,1,1,0,0,0,1,0,0,0,0,1,1,1,383,Torsion Beam,11.5,NMC,Tilt,Wireless,Wireless,Synthetic Leather,Electric,Yes,Yes,Yes,Panoramic,No,Yes (Driver),No,LED,No,No,No,No,No,No,LED,Digital,204,-0.0533640676103097,-0.26431236065164804,-0.2116665654153323,-0.2903812893507708,0.34872546151236483,-0.27225624497941076,-0.31036001197332247,0.4680156374372955
MG,ZS,ACTIVATE,SUV,315800000,114,150,170,Monocoque,0,0.0,1500,CVT,Petrol,1680,16,215/60,2585,4323,1809,1628,5,FWD,5,2,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,448,Torsion Beam,11.5,-,Tilt,Wired,Wired,Fabric,Manual,No,No,No,,No,No,No,LED,No,No,No,No,No,No,LED,Analog,2,-0.4097938315604142,-0.18961413591600337,-1.2119646518776097,-1.2111758441832667,-0.8303904636012663,-0.15560754422111925,-0.39495774030281927,0.5467305316268026
MG,ZS,IGNITE,SUV,339000000,114,150,170,Monocoque,0,0.0,1500,CVT,Petrol,1680,17,215/55,2585,4323,1809,1653,5,FWD,5,4,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,448,Torsion Beam,11.5,-,Tilt,Wired,Wired,Synthetic Leather,Electric,Yes,No,Yes,Panoramic,No,No,No,LED,No,No,No,No,No,No,LED,Digital,17,-0.4097938315604142,-0.18961413591600337,-0.8175932406726062,-0.7507785667670188,-0.8303904636012663,-0.1320429608011794,-0.3886757307734012,0.5230445971884555
MG,ZS,MAGNIFY,SUV,359500000,114,150,170,Monocoque,0,0.0,1500,CVT,Petrol,1700,17,215/55,2585,4323,1809,1653,5,FWD,5,6,1,1,1,1,0,0,0,1,0,0,0,0,1,1,1,448,Torsion Beam,11.5,-,Tilt,Wired,Wired,Synthetic Leather,Electric,Yes,No,Yes,Panoramic,No,Yes (Driver),No,LED,No,No,No,No,No,No,LED,Digital,372,-0.40249643094757936,-0.20056023683525567,-0.2116665654153323,-0.2903812893507708,-0.24083250104445075,-0.1320429608011794,-0.24000150524383995,0.502115215464916
MG,ZS EV,IGNITE,SUV,376000000,177,280,161,Monocoque,403,50.3,0,Single Speed,BEV,2060,17,215/55,2585,4323,1809,1649,5,FWD,5,4,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,448,Torsion Beam,0.0,LFP,Tilt,Wired,Wired,Fabric,Electric,Yes,Yes,Yes,Panoramic,No,No,No,LED,No,No,No,No,No,No,LED,Digital,55,0.17962555472341038,0.7662326941456232,0.2401830795887453,-0.7507785667670188,-0.24083250104445075,-0.17125326225857607,-0.3727613066322087,0.4852696155410915
MG,ZS EV,MAGNIFY,SUV,417500000,177,280,161,Monocoque,403,50.3,0,Single Speed,BEV,2070,17,215/55,2585,4323,1809,1649,5,FWD,5,6,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,448,Torsion Beam,0.0,LFP,Tilt,Wired,Wired,Synthetic Leather,Electric,Yes,Yes,Yes,Panoramic,No,Yes (Driver),No,LED,No,No,No,No,No,No,LED,Digital,208,0.18327425502982786,0.760759643685997,0.8461097548460191,-0.2903812893507708,0.34872546151236483,-0.17125326225857607,-0.30868480943214427,0.4429003793690481
MINI,ACEMAN,JCW E,Crossover,1450000000,258,350,145,Monocoque,355,54.2,0,Single Speed,BEV,2200,19,225/40,2606,4079,1754,1514,5,FWD,5,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,300,Multi-link,0.0,NMC,Lengkap,Wireless,Wireless,Synthetic Leather,Electric,Yes,Yes,Yes,Panoramic,Yes,Yes (Front & Memory),Yes,LED,No,No,Yes (Driver),No,No,Yes,LED,Digital,8,0.4178202973868945,0.6923334523871385,1.0576650188982895,1.0908105428979733,1.5278413866259961,-0.6349359915323233,-0.39244493649105205,-0.6112257976823934
