BRAND,MODEL,VARIAN,BODY TYPE,HARGAOTR,HORSE POWER (HP),TORQUE (Nm),GROUND CLEARENCE,CHASSIS,EV_RANGE_KM,BATTERY (KWH),CC,TRANSMISSION,FUEL,WEIGHT (GVW),WHEEL (Inch),TYRE,WHEELBASE,LONG,WIDTH,HEIGHT,SEAT,DRIVE_SYS,DOOR,AIRBAGS,ABS,EBD,ESC,TCS,AEB,ACC,LKA,RCTA,ACC_STOP_GO,LANE_CENTERING,DRIVER_MONITOR_CAMERA,PARK_SENSOR_FRONT,PARK_SENSOR_REAR,REAR_CAMERA,CAMERA_360,TRUNK_CAPACITY_LITER,TIPE_SUSPENSI_BELAKANG,COMPRESSION_RATIO,TIPE_BATERAI,TILT_TELESCOPIC_STEERING,APPLE_CARPLAY,ANDROID_AUTO,LEATHER_SEAT,PARKING_BRAKE,AUTO_HOLD,WIRELESS_CHARGER,SOFT_TOUCH_INTERIOR,SUNROOF,POWER_TAILGATE,ELECTRIC_SEAT,AMBIENT_LIGHT,HEADLAMP,AIR_SUSPENSION,VENTILATED_SEAT,MASSAGE_SEAT,REAR_SEAT_ENTERTAINMENT,SOFT_CLOSE_DOOR,HEAD_UP_DISPLAY,REAR_LAMP,SPEEDOMETER
Wuling,BinguoEV,Premium Range (410 KM),Hatchback,372000000,67,150,150,Monocoque,410,37.9,0,Single Speed,BEV,1700,15,185/60,2560,3950,1708,1580,5,FWD,5,2,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,310,Torsion Beam,0.0,LFP,Tilt,Wired,Wired,Synthetic Leather,Electric,Yes,No,Yes,None,No,Yes (Driver),No,LED,No,No,No,No,No,No,LED,Digital
Wuling,Cloud EV,460 KM,Hatchback,398800000,134,200,150,Monocoque,460,50.6,0,Single Speed,BEV,2025,18,215/55,2700,4295,1850,1652,5,FWD,5,4,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,382,Torsion Beam,0.0,LFP,Lengkap,Wireless,Wireless,Leather (Sofa),Electric,Yes,Yes,Yes,Panoramic,Yes,Yes (Front),Yes,LED,No,Yes (Front),No,No,No,No,LED,Digital
Wuling,Confero S,1.5 C MT,MPV,207700000,98,135,205,Monocoque,0,0.0,1485,MT,Petrol,1830,15,195/60,2720,4530,1691,1730,8,RWD,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,Rigid Axle,10.2,-,Fixed,None,None,Fabric,Manual,No,No,No,None,No,No,No,Halogen,No,No,No,No,No,No,Bulb,Analog
Wuling,Confero S,1.5 L AC Lux+ (ACT),MPV,232300000,98,135,205,Monocoque,0,0.0,1485,AT,Petrol,1840,15,195/60,2720,4530,1691,1730,7,RWD,5,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,250,Rigid Axle,10.2,-,Fixed,None,None,Synthetic Leather,Manual,No,No,No,None,No,No,No,Halogen,No,No,No,No,No,No,Combo LED,Analog
Wuling,Confero S,1.5 L MT (Lux),MPV,222850000,98,135,205,Monocoque,0,0.0,1485,MT,Petrol,1830,15,195/60,2720,4530,1691,1730,8,RWD,5,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,250,Rigid Axle,10.2,-,Fixed,None,None,Synthetic Leather,Manual,No,No,No,None,No,No,No,Halogen,No,No,No,No,No,No,Combo LED,Analog
Wuling,Cortez (Old),1.5 C MT,MPV,240000000,140,250,170,Monocoque,0,0.0,1451T,MT,Petrol,2000,16,205/55,2750,4780,1816,1755,8,FWD,5,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,150,Multi-link,9.5,-,Tilt,Wired,Wired,Fabric,Electric,Yes,No,No,None,No,No,No,Halogen,No,No,No,No,No,No,LED,Digital
Wuling,Cortez (Old),1.8 C AT,MPV,240000000,129,174,170,Monocoque,0,0.0,1798,AMT,Petrol,2050,16,205/55,2750,4780,1816,1755,8,FWD,5,2,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,150,Multi-link,10.0,-,Tilt,Wired,Wired,Fabric,Electric,Yes,No,No,None,No,No,No,LED,No,No,No,No,No,No,LED,Digital
Wuling,Cortez (Old),1.8 C MT,MPV,230000000,129,174,170,Monocoque,0,0.0,1798,MT,Petrol,2050,16,205/55,2750,4780,1816,1755,8,FWD,5,2,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,150,Multi-link,10.0,-,Tilt,Wired,Wired,Fabric,Electric,Yes,No,No,None,No,No,No,Halogen,No,No,No,No,No,No,LED,Digital
Wuling,Cortez (Old),1.8 L AT (Lux),MPV,268000000,129,174,170,Monocoque,0,0.0,1798,AMT,Petrol,2100,16,205/55,2750,4780,1816,1755,7,FWD,5,4,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,150,Multi-link,10.0,-,Tilt,Wired,Wired,Synthetic Leather,Electric,Yes,No,Yes,Moonroof,No,Yes (Driver),Yes,LED,No,No,No,No,No,No,LED,Digital
Wuling,Cortez (Old),1.8 L MT (Lux),MPV,258000000,129,174,170,Monocoque,0,0.0,1798,MT,Petrol,2080,16,205/55,2750,4780,1816,1755,7,FWD,5,4,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,150,Multi-link,10.0,-,Tilt,Wired,Wired,Synthetic Leather,Electric,Yes,No,Yes,Moonroof,No,Yes (Driver),Yes,LED,No,No,No,No,No,No,LED,Digital
Wuling,Cortez S,1.5 S T CVT,MPV,280200000,140,250,170,Monocoque,0,0.0,1451T,CVT,Petrol,2000,16,205/55,2750,4780,1816,1755,8,FWD,5,2,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,150,Torsion Beam,9.5,-,Tilt,Wired,Wired,Synthetic Leather,Manual,No,No,No,None,No,No,No,Halogen,No,No,No,No,No,No,LED,Digital
Wuling,Cortez S,1.5 S T MT,MPV,258500000,140,250,170,Monocoque,0,0.0,1451T,MT,Petrol,2000,16,205/55,2750,4780,1816,1755,8,FWD,5,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,150,Torsion Beam,9.5,-,Tilt,Wired,Wired,Synthetic Leather,Manual,No,No,No,None,No,No,No,Halogen,No,No,No,No,No,No,LED,Digital
Wuling,Darion,EV CE (Standard),MPV,359000000,201,310,170,Monocoque,410,50.6,0,Single Speed,BEV,1950,17,215/55,2910,4910,1870,1770,7,FWD,5,4,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,425,Multi-link,0.0,LFP,Lengkap,Wireless,Wireless,Synthetic Leather,Electric,Yes,No,Yes,None,No,No,No,LED,No,No,No,No,No,No,LED,Digital
